id;per1;per2;per3;per4;per5;per6;per7;per8;per9;per10;per11;roletype
1;8;7;5;5;3;2;3;3;6;5;5;1
2;5;7;5;5;4;5;5;6;3;4;3;1
3;6;5;5;6;5;3;5;3;3;5;4;1
4;5;5;4;6;4;4;4;4;2;1;5;1
5;5;5;5;5;5;4;6;2;4;4;5;1
6;7;7;7;8;7;8;7;6;6;8;7;1
7;8;8;7;7;6;7;6;7;6;5;6;1
8;7;7;7;7;5;3;3;6;5;4;5;1
9;1;3;1;1;1;1;1;1;1;1;1;1
10;9;9;9;8;5;7;5;2;7;6;7;1
11;9;9;9;7;7;9;9;7;4;6;5;1
12;4;3;3;5;6;5;4;5;2;5;1;1
13;6;6;5;7;7;7;7;7;6;5;6;1
14;7;7;2;7;2;3;2;3;6;6;5;1
15;9;9;9;9;7;5;4;5;4;1;1;1
16;9;9;9;9;5;5;5;7;6;7;6;1
17;8;8;9;9;7;6;6;8;6;8;9;1
18;8;5;8;5;4;8;5;8;4;3;4;1
19;9;9;9;9;6;7;6;6;7;9;9;1
20;8;7;7;9;5;6;6;4;5;6;2;1
21;9;9;8;9;9;9;9;8;8;6;6;1
22;7;7;7;8;7;6;7;6;7;8;8;1
23;7;8;7;6;5;6;5;6;6;5;7;1
24;8;9;7;8;5;3;4;5;9;9;7;1
25;8;8;8;8;6;6;6;7;9;6;9;1
26;8;9;9;9;6;6;6;6;8;8;9;1
27;8;8;8;8;8;7;8;8;8;9;8;1
28;9;9;9;7;6;7;7;6;9;9;6;1
29;6;5;6;5;5;6;6;5;4;5;4;1
30;8;8;7;8;7;8;8;7;8;7;6;1
31;7;7;7;8;8;7;8;7;7;6;8;1
32;1;1;2;1;1;1;1;1;6;6;5;1
33;8;8;8;8;8;7;7;8;6;1;6;1
34;8;8;6;7;5;6;5;6;8;9;8;1
35;8;8;8;5;7;4;8;5;6;6;6;1
36;8;8;8;8;5;5;6;5;7;7;7;1
37;6;4;5;6;7;7;7;8;5;5;4;1
38;5;4;5;3;3;4;3;4;6;7;3;1
39;5;7;6;7;7;5;6;7;6;6;5;1
40;7;7;7;8;6;7;7;7;7;6;8;1
41;6;8;7;7;8;7;7;7;7;9;7;1
42;7;8;8;5;6;6;6;6;6;5;5;1
43;8;8;7;7;5;6;5;6;6;7;6;1
44;7;7;5;7;4;5;4;4;8;7;6;1
45;9;9;9;9;8;9;8;8;9;7;7;1
46;7;7;7;7;7;7;7;7;7;7;7;1
47;7;5;7;6;4;7;5;4;7;9;6;1
48;1;3;3;1;4;5;4;4;9;6;7;1
49;7;8;6;7;8;8;8;8;7;6;7;1
50;8;8;7;8;8;7;7;8;7;8;7;1
51;9;8;8;8;6;4;6;8;6;7;6;2
52;9;9;8;9;8;7;8;7;8;7;9;2
53;6;6;5;6;8;4;6;7;7;7;6;2
54;8;8;8;4;5;4;5;8;7;9;6;2
55;8;8;7;9;2;2;2;1;5;2;6;2
56;8;8;6;8;3;3;5;6;6;5;4;2
57;9;9;9;9;2;2;2;2;8;9;9;2
58;8;8;8;8;7;7;8;8;8;8;8;2
59;6;5;6;7;6;7;6;7;5;6;6;2
60;8;9;7;7;6;5;6;6;7;7;6;2
61;7;7;7;7;7;7;7;8;7;7;7;2
62;6;7;7;6;4;4;5;7;6;3;7;2
63;8;8;7;8;8;6;7;9;7;7;7;2
64;8;7;8;8;4;4;4;3;8;2;6;2
65;8;9;8;7;7;7;7;7;6;6;7;2
66;8;8;9;8;8;8;8;8;7;9;6;2
67;7;7;7;7;7;7;6;8;7;6;7;2
68;6;3;7;9;4;3;3;3;9;4;5;2
69;9;8;8;9;8;8;7;8;6;7;6;2
70;6;6;6;5;4;4;4;4;5;2;5;2
71;8;8;9;8;7;7;7;7;8;6;7;2
72;8;8;8;8;7;6;8;7;7;7;7;2
73;9;9;7;8;4;5;6;7;6;7;6;2
74;8;8;8;8;6;6;6;6;8;8;8;2
75;8;8;8;7;8;7;8;7;6;8;8;2
76;8;8;7;8;4;5;6;8;8;5;6;2
77;6;6;6;6;7;7;5;6;6;5;3;2
78;7;5;5;4;3;5;5;6;2;2;6;2
79;4;4;5;8;7;8;8;8;6;4;6;2
80;9;9;8;7;8;1;5;9;9;6;9;2
81;8;5;8;7;3;1;6;1;7;7;6;2
82;9;7;7;9;9;8;7;9;8;8;8;2
83;8;8;8;8;6;4;7;7;7;9;6;2
84;7;7;7;7;6;6;6;7;6;7;6;2
85;4;2;3;4;1;4;1;1;1;1;1;2
86;6;7;5;6;5;6;6;6;5;6;6;2
87;6;6;7;7;8;5;6;9;6;7;6;2
88;8;8;7;8;6;5;7;7;8;5;6;2
89;9;9;9;9;9;6;9;9;8;9;9;2
90;5;5;5;5;3;3;4;4;7;5;5;2
91;8;8;8;8;7;7;7;7;6;9;7;2
92;5;5;4;5;7;7;7;7;7;6;7;2
93;8;8;8;8;6;6;6;6;4;4;6;2
94;8;8;9;8;8;6;8;8;9;5;7;2
95;8;7;7;7;8;6;7;6;7;7;7;2
96;8;8;8;8;7;7;7;6;7;5;7;2
97;7;8;7;8;7;5;8;5;7;8;7;2
98;4;5;2;1;5;1;2;2;1;2;6;2
99;8;8;1;8;3;5;8;3;4;2;1;2
100;9;8;8;9;7;4;9;8;9;8;9;2
